FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
82601,82601,Abruzzo,Italy,26/05/2020 02:32,42.35122196,13.39843823,3227,400,1781,1046,Abruzzo
82601,82601,Acre,Brazil,26/05/2020 02:32,-9.0238,-70.812,4501,97,0,4404,Acre
82601,82601,Aguascalientes,Mexico,26/05/2020 02:32,21.8853,-102.2916,649,26,464,159,Aguascalientes
82601,82601,Alagoas,Brazil,26/05/2020 02:32,-9.5713,-36.782,6682,337,0,6345,Alagoas
82601,82601,Alberta,Canada,26/05/2020 02:32,53.9333,-116.5765,6879,138,5979,762,Alberta
82601,82601,Amapa,Brazil,26/05/2020 02:32,0.902,-52.003,6584,168,0,6416,Amapa
82601,82601,Amazonas,Brazil,26/05/2020 02:32,-3.4168,-65.8561,30282,1781,0,28501,Amazonas
82601,82601,Andalusia,Spain,26/05/2020 02:32,37.5443,-4.7278,12450,1334,0,11116,Andalusia
82601,82601,Anguilla,United Kingdom,26/05/2020 02:32,18.2206,-63.0686,3,0,3,0,Anguilla
82601,82601,Anhui,China,26/05/2020 02:32,31.8257,117.2264,991,6,985,0,Anhui
82601,82601,Antofagasta,Chile,26/05/2020 02:32,-23.6509,-70.3975,2015,21,0,1994,Antofagasta
82601,82601,Aragon,Spain,26/05/2020 02:32,41.5976,-0.9057,5600,826,0,4774,Aragon
82601,82601,Araucania,Chile,26/05/2020 02:32,-38.9489,-72.3311,1857,45,0,1812,Araucania
82601,82601,Arica y Parinacota,Chile,26/05/2020 02:32,-18.594,-69.4785,513,7,0,506,Arica y Parinacota
82601,82601,Aruba,Netherlands,26/05/2020 02:32,12.5211,-69.9683,101,3,95,3,Aruba
82601,82601,Asturias,Spain,26/05/2020 02:32,43.3614,-5.8593,2380,288,0,2092,Asturias
82601,82601,Atacama,Chile,26/05/2020 02:32,-23.8634,-69.1328,185,0,0,185,Atacama
82601,82601,Australian Capital Territory,Australia,26/05/2020 02:32,-35.4735,149.0124,107,3,104,0,Australian Capital Territory
82601,82601,Aysen,Chile,26/05/2020 02:32,-45.9864,-73.7669,10,0,0,10,Aysen
82601,82601,Baden-Wurttemberg,Germany,26/05/2020 02:32,48.6616,9.3501,34431,1698,31300,1428,Baden-Wurttemberg
82601,82601,Bahia,Brazil,26/05/2020 02:32,-12.5797,-41.7007,14205,477,0,13727,Bahia
82601,82601,Baja California,Mexico,26/05/2020 02:32,30.8406,-115.2838,4250,705,2992,553,Baja California
82601,82601,Baja California Sur,Mexico,26/05/2020 02:32,26.0444,-111.6661,541,32,430,79,Baja California Sur
82601,82601,Baleares,Spain,26/05/2020 02:32,39.710358,2.995148,2035,211,0,1824,Baleares
82601,82601,Basilicata,Italy,26/05/2020 02:32,40.63947052,15.80514834,399,27,336,36,Basilicata
82601,82601,Bayern,Germany,26/05/2020 02:32,48.7904,11.4979,46326,2382,41850,2390,Bayern
82601,82601,Beijing,China,26/05/2020 02:32,40.1824,116.4142,593,9,581,3,Beijing
82601,82601,Berlin,Germany,26/05/2020 02:32,52.52,13.405,6642,191,6086,374,Berlin
82601,82601,Bermuda,United Kingdom,26/05/2020 02:32,32.3078,-64.7505,133,9,89,35,Bermuda
82601,82601,Biobio,Chile,26/05/2020 02:32,-37.4464,-72.1416,1458,10,0,1448,Biobio
82601,82601,Bonaire, Sint Eustatius and Saba,Netherlands,26/05/2020 02:32,12.1784,-68.2385,6,0,6,0
82601,82601,Brandenburg,Germany,26/05/2020 02:32,52.4125,12.5316,3214,154,3000,70,Brandenburg
82601,82601,Bremen,Germany,26/05/2020 02:32,53.0793,8.8017,1312,41,1100,172,Bremen
82601,82601,British Columbia,Canada,26/05/2020 02:32,53.7267,-127.6476,2530,161,2102,267,British Columbia
82601,82601,British Virgin Islands,United Kingdom,26/05/2020 02:32,18.4207,-64.64,8,1,6,1,British Virgin Islands
82601,82601,C. Valenciana,Spain,26/05/2020 02:32,39.484,-0.7533,11056,1331,0,9725,C. Valenciana
82601,82601,Calabria,Italy,26/05/2020 02:32,38.90597598,16.59440194,1157,96,797,264,Calabria
82601,82601,Campania,Italy,26/05/2020 02:32,40.83956555,14.25084984,4755,405,3137,1213,Campania
82601,82601,Campeche,Mexico,26/05/2020 02:32,19.8301,-90.5349,443,57,284,102,Campeche
82601,82601,Canarias,Spain,26/05/2020 02:32,28.2916,-16.6291,2317,150,0,2167,Canarias
82601,82601,Cantabria,Spain,26/05/2020 02:32,43.1828,-3.9878,2283,202,0,2081,Cantabria
82601,82601,Castilla - La Mancha,Spain,26/05/2020 02:32,39.2796,-3.0977,16909,2788,0,14121,Castilla - La Mancha
82601,82601,Castilla y Leon,Spain,26/05/2020 02:32,41.8357,-4.3976,18555,1913,0,16642,Castilla y Leon
82601,82601,Catalonia,Spain,26/05/2020 02:32,41.5912,1.5209,57320,5575,0,51745,Catalonia
82601,82601,Cayman Islands,United Kingdom,26/05/2020 02:32,19.3133,-81.2546,134,1,61,72,Cayman Islands
82601,82601,Ceara,Brazil,26/05/2020 02:32,-5.4984,-39.3206,36185,2493,0,33692,Ceara
82601,82601,Ceuta,Spain,26/05/2020 02:32,35.8894,-5.3213,124,4,0,120,Ceuta
82601,82601,Channel Islands,United Kingdom,26/05/2020 02:32,49.3723,-2.3644,0,0,517,0,Channel Islands
82601,82601,Chiapas,Mexico,26/05/2020 02:32,16.7569,-93.1292,1224,72,659,493,Chiapas
82601,82601,Chihuahua,Mexico,26/05/2020 02:32,28.63300000000001,-106.0691,1193,255,843,95,Chihuahua
82601,82601,Chongqing,China,26/05/2020 02:32,30.0572,107.874,579,6,573,0,Chongqing
82601,82601,Ciudad de Mexico,Mexico,26/05/2020 02:32,19.4326,-99.1332,20235,2024,14557,3654,Ciudad de Mexico
82601,82601,Coahuila,Mexico,26/05/2020 02:32,27.0587,-101.7068,876,68,656,152,Coahuila
82601,82601,Colima,Mexico,26/05/2020 02:32,19.1223,-104.0072,115,18,52,45,Colima
82601,82601,Coquimbo,Chile,26/05/2020 02:32,-29.959,-71.3389,338,2,0,336,Coquimbo
82601,82601,Curacao,Netherlands,26/05/2020 02:32,12.1696,-68.99,18,1,14,3,Curacao
82601,82601,Diamond Princess,Canada,26/05/2020 02:32,,,1,1,0,0,Diamond Princess
82601,82601,Distrito Federal,Brazil,26/05/2020 02:32,-15.7998,-47.8645,6930,114,0,6816,Distrito Federal
82601,82601,Durango,Mexico,26/05/2020 02:32,24.5593,-104.6588,246,26,150,70,Durango
82601,82601,Emilia-Romagna,Italy,26/05/2020 02:32,44.49436681,11.3417208,27587,4068,19160,4359,Emilia-Romagna
82601,82601,Espirito Santo,Brazil,26/05/2020 02:32,-19.1834,-40.3089,10365,465,0,9900,Espirito Santo
82601,82601,Extremadura,Spain,26/05/2020 02:32,39.4937,-6.0679,2952,506,0,2446,Extremadura
82601,82601,Falkland Islands (Malvinas),United Kingdom,26/05/2020 02:32,-51.7963,-59.5236,13,0,13,0,Falkland Islands (Malvinas)
82601,82601,Faroe Islands,Denmark,26/05/2020 02:32,61.8926,-6.9118,187,0,187,0,Faroe Islands
82601,82601,French Guiana,France,26/05/2020 02:32,4.0,-53.0,353,1,146,206,French Guiana
82601,82601,French Polynesia,France,26/05/2020 02:32,-17.6797,-149.4068,60,0,60,0,French Polynesia
82601,82601,Friuli Venezia Giulia,Italy,26/05/2020 02:32,45.6494354,13.76813649,3240,329,2525,386,Friuli Venezia Giulia
82601,82601,Fujian,China,26/05/2020 02:32,26.0789,117.9874,357,1,355,1,Fujian
82601,82601,Galicia,Spain,26/05/2020 02:32,42.5751,-8.1339,9079,607,0,8472,Galicia
82601,82601,Gansu,China,26/05/2020 02:32,35.7518,104.2861,139,2,137,0,Gansu
82601,82601,Gibraltar,United Kingdom,26/05/2020 02:32,36.1408,-5.3536,154,0,147,7,Gibraltar
82601,82601,Goias,Brazil,26/05/2020 02:32,-15.827,-49.8362,2515,96,0,2416,Goias
82601,82601,Grand Princess,Canada,26/05/2020 02:32,,,13,0,13,0,Grand Princess
82601,82601,Greenland,Denmark,26/05/2020 02:32,71.7069,-42.6043,12,0,11,1,Greenland
82601,82601,Guadeloupe,France,26/05/2020 02:32,16.265,-61.551,161,14,115,32,Guadeloupe
82601,82601,Guanajuato,Mexico,26/05/2020 02:32,21.019000000000002,-101.2574,1127,91,666,370,Guanajuato
82601,82601,Guangdong,China,26/05/2020 02:32,23.3417,113.4244,1592,8,1581,3,Guangdong
82601,82601,Guangxi,China,26/05/2020 02:32,23.8298,108.7881,254,2,252,0,Guangxi
82601,82601,Guerrero,Mexico,26/05/2020 02:32,17.4392,-99.5451,1301,174,795,332,Guerrero
82601,82601,Guizhou,China,26/05/2020 02:32,26.8154,106.8748,147,2,145,0,Guizhou
82601,82601,Hainan,China,26/05/2020 02:32,19.1959,109.7453,169,6,162,1,Hainan
82601,82601,Hamburg,Germany,26/05/2020 02:32,53.5511,9.9937,5069,241,4700,128,Hamburg
82601,82601,Hebei,China,26/05/2020 02:32,37.8957,114.9042,328,6,322,0,Hebei
82601,82601,Heilongjiang,China,26/05/2020 02:32,47.862,127.7615,945,13,932,0,Heilongjiang
82601,82601,Henan,China,26/05/2020 02:32,33.882,113.614,1276,22,1254,0,Henan
82601,82601,Hessen,Germany,26/05/2020 02:32,50.6521,9.1624,9770,460,8500,810,Hessen
82601,82601,Hidalgo,Mexico,26/05/2020 02:32,20.0911,-98.7624,1319,215,698,406,Hidalgo
82601,82601,Hong Kong,China,26/05/2020 02:32,22.3,114.2,1065,4,1030,31,Hong Kong
82601,82601,Hubei,China,26/05/2020 02:32,30.9756,112.2707,68135,4512,63617,6,Hubei
82601,82601,Hunan,China,26/05/2020 02:32,27.6104,111.7088,1019,4,1015,0,Hunan
82601,82601,Inner Mongolia,China,26/05/2020 02:32,44.0935,113.9448,232,1,204,27,Inner Mongolia
82601,82601,Isle of Man,United Kingdom,26/05/2020 02:32,54.2361,-4.5481,336,24,305,7,Isle of Man
82601,82601,Jalisco,Mexico,26/05/2020 02:32,20.6595,-103.3494,1238,116,742,380,Jalisco
82601,82601,Jiangsu,China,26/05/2020 02:32,32.9711,119.455,653,0,653,0,Jiangsu
82601,82601,Jiangxi,China,26/05/2020 02:32,27.614,115.7221,937,1,936,0,Jiangxi
82601,82601,Jilin,China,26/05/2020 02:32,43.6661,126.1923,155,2,128,25,Jilin
82601,82601,La Rioja,Spain,26/05/2020 02:32,42.2871,-2.5396,4041,358,0,3683,La Rioja
82601,82601,Lazio,Italy,26/05/2020 02:32,41.89277044,12.48366722,7643,688,3401,3554,Lazio
82601,82601,Liaoning,China,26/05/2020 02:32,41.2956,122.6085,149,2,147,0,Liaoning
82601,82601,Liguria,Italy,26/05/2020 02:32,44.41149315,8.9326992,9497,1425,6516,1556,Liguria
82601,82601,Lombardia,Italy,26/05/2020 02:32,45.46679409,9.190347404,87258,15874,46169,25215,Lombardia
82601,82601,Los Lagos,Chile,26/05/2020 02:32,-41.9198,-72.1416,763,13,0,750,Los Lagos
82601,82601,Los Rios,Chile,26/05/2020 02:32,-40.231,-72.3311,297,6,0,291,Los Rios
82601,82601,Macau,China,26/05/2020 02:32,22.1667,113.55,45,0,45,0,Macau
82601,82601,Madrid,Spain,26/05/2020 02:32,40.4168,-3.7038,67932,8686,0,59246,Madrid
82601,82601,Magallanes,Chile,26/05/2020 02:32,-52.368,-70.9863,1016,18,0,998,Magallanes
82601,82601,Manitoba,Canada,26/05/2020 02:32,53.7609,-98.8139,292,7,268,17,Manitoba
82601,82601,Maranhao,Brazil,26/05/2020 02:32,-4.9609,-45.2744,24278,817,0,22002,Maranhao
82601,82601,Marche,Italy,26/05/2020 02:32,43.61675973,13.5188753,6716,995,4059,1662,Marche
82601,82601,Martinique,France,26/05/2020 02:32,14.6415,-61.0242,197,14,91,92,Martinique
82601,82601,Mato Grosso,Brazil,26/05/2020 02:32,-12.6819,-56.9211,1594,42,0,1459,Mato Grosso
82601,82601,Mato Grosso do Sul,Brazil,26/05/2020 02:32,-20.7722,-54.7852,1100,17,0,1006,Mato Grosso do Sul
82601,82601,Maule,Chile,26/05/2020 02:32,-35.5183,-71.6885,953,15,0,938,Maule
82601,82601,Mayotte,France,26/05/2020 02:32,-12.8275,45.166244,1609,20,894,695,Mayotte
82601,82601,Mecklenburg-Vorpommern,Germany,26/05/2020 02:32,53.6127,12.4296,760,20,707,33,Mecklenburg-Vorpommern
82601,82601,Melilla,Spain,26/05/2020 02:32,35.2923,-2.9381,121,2,0,119,Melilla
82601,82601,Metropolitana,Chile,26/05/2020 02:32,-33.4376,-70.6505,58930,529,0,58401,Metropolitana
82601,82601,Mexico,Mexico,26/05/2020 02:32,19.4969,-99.7233,11523,872,9229,1422,Mexico
82601,82601,Michoacan,Mexico,26/05/2020 02:32,19.5665,-101.7068,1402,119,935,348,Michoacan
82601,82601,Minas Gerais,Brazil,26/05/2020 02:32,-18.5122,-44.555,6962,230,0,6732,Minas Gerais
82601,82601,Molise,Italy,26/05/2020 02:32,41.55774754,14.65916051,432,22,233,177,Molise
82601,82601,Montserrat,United Kingdom,26/05/2020 02:32,16.742498,-62.187366,11,1,10,0,Montserrat
82601,82601,Morelos,Mexico,26/05/2020 02:32,18.6813,-99.1013,1232,239,779,214,Morelos
82601,82601,Murcia,Spain,26/05/2020 02:32,37.9922,-1.1307,1573,139,0,1434,Murcia
82601,82601,Navarra,Spain,26/05/2020 02:32,42.6954,-1.6761,5195,490,0,4705,Navarra
82601,82601,Nayarit,Mexico,26/05/2020 02:32,21.7514,-104.8455,439,42,275,122,Nayarit
82601,82601,New Brunswick,Canada,26/05/2020 02:32,46.5653,-66.4619,121,0,120,1,New Brunswick
82601,82601,New Caledonia,France,26/05/2020 02:32,-20.904305,165.618042,18,0,18,0,New Caledonia
82601,82601,New South Wales,Australia,26/05/2020 02:32,-33.8688,151.2093,3092,48,2661,383,New South Wales
82601,82601,Newfoundland and Labrador,Canada,26/05/2020 02:32,53.1355,-57.6604,260,3,254,3,Newfoundland and Labrador
82601,82601,Niedersachsen,Germany,26/05/2020 02:32,52.6367,9.8451,11578,572,10300,702,Niedersachsen
82601,82601,Ningxia,China,26/05/2020 02:32,37.2692,106.1655,75,0,75,0,Ningxia
82601,82601,Nordrhein-Westfalen,Germany,26/05/2020 02:32,51.4332,7.6616,37298,1565,33600,2133,Nordrhein-Westfalen
82601,82601,Northern Territory,Australia,26/05/2020 02:32,-12.4634,130.8456,29,0,29,0,Northern Territory
82601,82601,Northwest Territories,Canada,26/05/2020 02:32,64.8255,-124.8457,5,0,5,0,Northwest Territories
82601,82601,Nova Scotia,Canada,26/05/2020 02:32,44.681999999999995,-63.7443,1051,58,974,19,Nova Scotia
82601,82601,Nunavut,Canada,26/05/2020 02:32,70.2998,-83.1076,0,0,0,0,Nunavut
82601,82601,Nuble,Chile,26/05/2020 02:32,-36.7226,-71.7622,1139,22,0,1117,Nuble
82601,82601,Nuevo Leon,Mexico,26/05/2020 02:32,25.5922,-99.9962,1168,67,800,301,Nuevo Leon
82601,82601,OHiggins,Chile,26/05/2020 02:32,-48.4674,-72.5592,588,13,0,575,OHiggins
82601,82601,Oaxaca,Mexico,26/05/2020 02:32,17.0732,-96.7266,1070,106,562,402,Oaxaca
82601,82601,Ontario,Canada,26/05/2020 02:32,51.2538,-85.3232,26672,2102,19698,5394,Ontario
82601,82601,P.A. Bolzano,Italy,26/05/2020 02:32,46.49933453,11.35662422,2593,291,2118,184,P.A. Bolzano
82601,82601,P.A. Trento,Italy,26/05/2020 02:32,46.06893511,11.12123097,4405,458,3430,517,P.A. Trento
82601,82601,Pais Vasco,Spain,26/05/2020 02:32,42.9896,-2.6189,13478,1424,0,12054,Pais Vasco
82601,82601,Para,Brazil,26/05/2020 02:32,-1.9981,-54.9306,27366,2431,0,23705,Para
82601,82601,Paraiba,Brazil,26/05/2020 02:32,-7.24,-36.782,8016,279,0,7737,Paraiba
82601,82601,Parana,Brazil,26/05/2020 02:32,-25.2521,-52.0215,3384,160,0,3175,Parana
82601,82601,Pernambuco,Brazil,26/05/2020 02:32,-8.8137,-36.9541,28366,2248,0,26118,Pernambuco
82601,82601,Piaui,Brazil,26/05/2020 02:32,-7.7183,-42.7289,3720,119,0,3440,Piaui
82601,82601,Piemonte,Italy,26/05/2020 02:32,45.0732745,7.680687483,30228,3798,18934,7496,Piemonte
82601,82601,Prince Edward Island,Canada,26/05/2020 02:32,46.5107,-63.4168,27,0,27,0,Prince Edward Island
82601,82601,Puebla,Mexico,26/05/2020 02:32,19.0414,-98.2063,2165,260,1373,532,Puebla
82601,82601,Puglia,Italy,26/05/2020 02:32,41.12559576,16.86736689,4467,491,2298,1678,Puglia
82601,82601,Qinghai,China,26/05/2020 02:32,35.7452,95.9956,18,0,18,0,Qinghai
82601,82601,Quebec,Canada,26/05/2020 02:32,52.9399,-73.5491,48571,4835,14654,29082,Quebec
82601,82601,Queensland,Australia,26/05/2020 02:32,-27.4698,153.0251,1057,6,1039,12,Queensland
82601,82601,Queretaro,Mexico,26/05/2020 02:32,20.5888,-100.3899,710,78,371,261,Queretaro
82601,82601,Quintana Roo,Mexico,26/05/2020 02:32,19.1817,-88.4791,1641,294,1113,234,Quintana Roo
82601,82601,Reunion,France,26/05/2020 02:32,-21.1151,55.5364,456,1,411,44,Reunion
82601,82601,Rheinland-Pfalz,Germany,26/05/2020 02:32,50.1183,7.309,6596,228,6045,323,Rheinland-Pfalz
82601,82601,Rio Grande do Norte,Brazil,26/05/2020 02:32,-5.4026,-36.9541,5472,220,0,4550,Rio Grande do Norte
82601,82601,Rio Grande do Sul,Brazil,26/05/2020 02:32,-30.0346,-51.2177,6559,197,0,6362,Rio Grande do Sul
82601,82601,Rio de Janeiro,Brazil,26/05/2020 02:32,-22.9068,-43.1729,39298,4105,0,35193,Rio de Janeiro
82601,82601,Rondonia,Brazil,26/05/2020 02:32,-11.5057,-63.5806,3268,121,0,3147,Rondonia
82601,82601,Roraima,Brazil,26/05/2020 02:32,-2.7376,-62.0751,2564,86,0,2428,Roraima
82601,82601,Saarland,Germany,26/05/2020 02:32,49.3964,7.023,2716,157,2457,97,Saarland
82601,82601,Sachsen,Germany,26/05/2020 02:32,51.1045,13.2017,5231,205,4720,306,Sachsen
82601,82601,Sachsen-Anhalt,Germany,26/05/2020 02:32,51.9503,11.6923,1694,54,1554,91,Sachsen-Anhalt
82601,82601,Saint Barthelemy,France,26/05/2020 02:32,17.9,-62.8333,6,0,6,0,Saint Barthelemy
82601,82601,Saint Helena, Ascension and Tristan da Cunha,United Kingdom,26/05/2020 02:32,-7.9467,-14.3559,0,0,0,0
82601,82601,Saint Pierre and Miquelon,France,26/05/2020 02:32,46.8852,-56.3159,1,0,1,0,Saint Pierre and Miquelon
82601,82601,San Luis Potosi,Mexico,26/05/2020 02:32,22.1565,-100.9855,692,40,438,214,San Luis Potosi
82601,82601,Santa Catarina,Brazil,26/05/2020 02:32,-27.2423,-50.2189,6875,109,0,6766,Santa Catarina
82601,82601,Sao Paulo,Brazil,26/05/2020 02:32,-23.5505,-46.6333,83625,6220,0,77405,Sao Paulo
82601,82601,Sardegna,Italy,26/05/2020 02:32,39.21531192,9.110616306,1354,129,994,231,Sardegna
82601,82601,Saskatchewan,Canada,26/05/2020 02:32,52.9399,-106.4509,634,7,546,81,Saskatchewan
82601,82601,Schleswig-Holstein,Germany,26/05/2020 02:32,54.2194,9.6961,3062,137,2800,125,Schleswig-Holstein
82601,82601,Sergipe,Brazil,26/05/2020 02:32,-10.5741,-37.3857,5448,103,0,5345,Sergipe
82601,82601,Shaanxi,China,26/05/2020 02:32,35.1917,108.8701,308,3,305,0,Shaanxi
82601,82601,Shandong,China,26/05/2020 02:32,36.3427,118.1498,788,7,780,1,Shandong
82601,82601,Shanghai,China,26/05/2020 02:32,31.202,121.4491,669,7,652,10,Shanghai
82601,82601,Shanxi,China,26/05/2020 02:32,37.5777,112.2922,198,0,198,0,Shanxi
82601,82601,Sichuan,China,26/05/2020 02:32,30.6171,102.7103,564,3,558,3,Sichuan
82601,82601,Sicilia,Italy,26/05/2020 02:32,38.11569725,13.362356699999998,3427,270,1724,1433,Sicilia
82601,82601,Sinaloa,Mexico,26/05/2020 02:32,25.1721,-107.4795,2794,406,1831,557,Sinaloa
82601,82601,Sint Maarten,Netherlands,26/05/2020 02:32,18.0425,-63.0548,77,15,59,3,Sint Maarten
82601,82601,Sonora,Mexico,26/05/2020 02:32,29.2972,-110.3309,1451,72,1019,360,Sonora
82601,82601,South Australia,Australia,26/05/2020 02:32,-34.9285,138.6007,439,4,435,0,South Australia
82601,82601,St Martin,France,26/05/2020 02:32,18.0708,-63.0501,39,3,33,3,St Martin
82601,82601,Tabasco,Mexico,26/05/2020 02:32,17.8409,-92.6189,3236,416,2214,606,Tabasco
82601,82601,Tamaulipas,Mexico,26/05/2020 02:32,24.2669,-98.8363,1289,86,905,298,Tamaulipas
82601,82601,Tarapaca,Chile,26/05/2020 02:32,-19.9232,-69.5132,1630,7,0,1623,Tarapaca
82601,82601,Tasmania,Australia,26/05/2020 02:32,-42.8821,147.3272,228,13,202,13,Tasmania
82601,82601,Thuringen,Germany,26/05/2020 02:32,51.011,10.8453,2871,152,2480,239,Thuringen
82601,82601,Tianjin,China,26/05/2020 02:32,39.3054,117.323,192,3,188,1,Tianjin
82601,82601,Tibet,China,26/05/2020 02:32,31.6927,88.0924,1,0,1,0,Tibet
82601,82601,Tlaxcala,Mexico,26/05/2020 02:32,19.3139,-98.2404,827,134,478,215,Tlaxcala
82601,82601,Tocantins,Brazil,26/05/2020 02:32,-10.1753,-48.2982,2696,58,0,2638,Tocantins
82601,82601,Toscana,Italy,26/05/2020 02:32,43.76923077,11.25588885,10067,1015,7416,1636,Toscana
82601,82601,Turks and Caicos Islands,United Kingdom,26/05/2020 02:32,21.69400000000001,-71.7979,12,1,10,1,Turks and Caicos Islands
82601,82601,Umbria,Italy,26/05/2020 02:32,43.10675841,12.38824698,1430,75,1309,46,Umbria
82601,82601,Unknown,Brazil,26/05/2020 02:32,,,0,0,153833,0,Unknown
82601,82601,Unknown,Chile,26/05/2020 02:32,,,0,0,29302,0,Unknown
82601,82601,Unknown,Germany,26/05/2020 02:32,,,1671,0,0,1671,Unknown
82601,82601,Unknown,Spain,26/05/2020 02:32,,,0,0,150376,0,Unknown
